../../Project_WorkCell/Scene.wc.xml
CylinderRed
x y #collisionFreeSolutions
0.0325 0.07 3247
0.065 0.07 3337
0.0975 0.07 3417
0.13 0.07 3496
0.1625 0.07 3544
0.195 0.07 3589
0.2275 0.07 3606
0.26 0.07 3610
0.2925 0.07 3606
0.325 0.07 3583
-0.325 0.105 1334
-0.2925 0.105 1460
-0.26 0.105 1568
-0.2275 0.105 1646
-0.195 0.105 1715
-0.1625 0.105 1773
-0.13 0.105 1819
-0.0975 0.105 1890
-0.065 0.105 1967
-0.0325 0.105 2059
0 0.105 2138
0.0325 0.105 2249
0.065 0.105 2392
0.0975 0.105 2598
0.13 0.105 2821
0.1625 0.105 2914
0.195 0.105 2977
0.2275 0.105 3017
0.26 0.105 3023
0.2925 0.105 3000
0.325 0.105 2953
-0.325 0.14 1421
-0.2925 0.14 1522
-0.26 0.14 1614
-0.2275 0.14 1691
-0.195 0.14 1746
-0.1625 0.14 1779
-0.13 0.14 1815
-0.0975 0.14 1825
-0.065 0.14 1822
-0.0325 0.14 1817
0 0.14 1829
0.0325 0.14 1855
0.065 0.14 1875
0.0975 0.14 1888
0.13 0.14 1896
0.1625 0.14 1918
0.195 0.14 1939
0.2275 0.14 2090
0.26 0.14 2093
0.2925 0.14 1988
0.325 0.14 1996
-0.325 0.175 1452
-0.2925 0.175 1557
-0.26 0.175 1636
-0.2275 0.175 1687
-0.195 0.175 1738
-0.1625 0.175 1767
-0.13 0.175 1779
-0.0975 0.175 1786
-0.065 0.175 1765
-0.0325 0.175 1718
0 0.175 1666
0.0325 0.175 1601
0.065 0.175 1523
0.0975 0.175 1463
0.13 0.175 1404
0.1625 0.175 1306
0.195 0.175 1166
0.2275 0.175 967
0.26 0.175 961
0.2925 0.175 1059
0.325 0.175 1309
