../../../Project_WorkCell/Scene_rap_blue.wc.xml
CylinderBlue
x y #collisionFreeSolutions
-0.195 0.175 434
-0.1625 0.175 545
-0.13 0.175 670
-0.0975 0.175 870
-0.065 0.175 1233
-0.0325 0.175 1496
0 0.175 1806
0.0325 0.175 2075
0.065 0.175 2314
0.0975 0.175 2488
0.13 0.175 2683
0.1625 0.175 2857
0.195 0.175 2978
0.2275 0.175 3052
0.26 0.175 3110
0.2925 0.175 3167
0.325 0.175 3203
